,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria,4. Other criteria,4. Other criteria
. Plausible values,max,,,,,,,,,2.40,0.20,1.00,,,,,
. Plausible values,min,,,,,,,,,1.20,0.01,1.00,,,,,
model,run,synthesis,historical,ssp119,ssp126,ssp245,ssp370,ssp585,Synthesis,AR6 TCR very likely range,Bru20 perf,Qas21 Constrained Dtas ssp245,Sch20 ECS,Tok20 TCR as spread,Bru20 mfamily,atm. res. km,Bra21 complexity
ACCESS-CM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.10,0.07,0.00,4.72,,HadGEM,250.00,2222002000.00
ACCESS-CM2,r4i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,
ACCESS-CM2,r5i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.95,0.04,1.00,3.87,,ACCESS,250.00,2222122020.00
AWI-CM-1-1-MR,r1i1p1f1,0.00,-,,ESD,ESD,ESD,ESD,0,2.06,,,3.16,,,100.00,
AWI-ESM-1-1-LR,r1i1p1f1,0.00,RCM,,,,,,,,,,,,,,2222220100.00
BCC-CSM2-MR,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.72,0.02,1.00,3.04,1.50,BCC,100.00,2222221120.00
BCC-ESM1,r1i1p1f1,0.00,ESD,,,,ESD,,0,1.77,,,3.26,1.73,,,
CAMS-CSM1-0,r1i1p1f1,0.00,-,-,-,-,-,-,0,1.73,,,,1.75,,100.00,
CAMS-CSM1-0,r2i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,,,,,2.29,1.75,,,
CAS-ESM2-0,r1i1p1f1,0.00,-,,-,-,-,-,0,2.04,,,3.51,,,100.00,
CESM2,r2i1p1f1,1.00,ESD,,RCM,RCM,RCM,RCM,0,2.06,0.02,1.00,5.16,2.06,CESM,100.00,
CESM2,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,100.00,
CESM2-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.05,,,5.14,,,,
CESM2-WACCM,r1i1p1f1,0.00,ESD,,ESD,Basic,Basic,ESD,0,1.98,,,4.75,1.98,,100.00,
CESM2-WACCM-FV2,r1i1p1f1,0.00,Basic,,,,,,0,2.01,,,4.79,,,,
CIESM,r1i1p1f1,0.00,-,,-,-,,-,0,2.39,,,,,,100.00,
CMCC-CM2-SR5,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,2.09,,,3.52,,,100.00,
CMCC-ESM2,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,100.00,
CNRM-CM6-1,r1i1p1f2,0.00,RCM,,RCM,ESD,ESD,RCM,0,2.14,0.02,1.00,4.83,2.13,CNRM,150.00,2222101100.00
CNRM-CM6-1-HR,r1i1p1f2,0.00,RCM,,ESD,-,-,ESD,2,2.48,0.02,0.00,4.28,2.47,CNRM,,2222101100.00
CNRM-ESM2-1,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.86,0.02,1.00,4.76,1.90,CNRM,150.00,2222222220.00
CanESM5,r1i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,2,,0.00,0.00,5.62,,CanESM,,2222222121.00
CanESM5,r1i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,1,2.74,,,,2.66,,500.00,
CanESM5,r2i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,1,2.74,,,,2.66,,500.00,
CanESM5,r3i1p2f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,1,2.74,,,,2.66,,500.00,
